# Bombaci-Logoteta BBL delta=1 table.
# Source: http://arxiv.org/abs/1805.11846
#
# Columns:
#   n         epsilon     P          xp        xe
#   fm^-3     MeV/fm^3   MeV/fm^3   1         1
8.0000E-02 7.5863E+01 5.1039E-01 3.483E-02 3.483E-02
8.5701E-02 8.1308E+01 5.9983E-01 3.590E-02 3.590E-02
9.1402E-02 8.6760E+01 7.0057E-01 3.701E-02 3.701E-02
9.7103E-02 9.2219E+01 8.1342E-01 3.815E-02 3.815E-02
1.0280E-01 9.7684E+01 9.3919E-01 3.932E-02 3.932E-02
1.0850E-01 1.0316E+02 1.0787E+00 4.051E-02 4.051E-02
1.1421E-01 1.0864E+02 1.2327E+00 4.173E-02 4.173E-02
1.1991E-01 1.1413E+02 1.4019E+00 4.296E-02 4.296E-02
1.2561E-01 1.1962E+02 1.5844E+00 4.452E-02 4.412E-02
1.3131E-01 1.2513E+02 1.7805E+00 4.635E-02 4.521E-02
1.3701E-01 1.3064E+02 1.9922E+00 4.832E-02 4.626E-02
1.4271E-01 1.3617E+02 2.2203E+00 5.036E-02 4.730E-02
1.4841E-01 1.4170E+02 2.4658E+00 5.247E-02 4.833E-02
1.5411E-01 1.4724E+02 2.7293E+00 5.462E-02 4.934E-02
1.5981E-01 1.5280E+02 3.0116E+00 5.680E-02 5.036E-02
1.6551E-01 1.5836E+02 3.3134E+00 5.901E-02 5.136E-02
1.7121E-01 1.6393E+02 3.6353E+00 6.124E-02 5.237E-02
1.7692E-01 1.6952E+02 3.9782E+00 6.347E-02 5.338E-02
1.8262E-01 1.7511E+02 4.3425E+00 6.572E-02 5.438E-02
1.8832E-01 1.8072E+02 4.7290E+00 6.798E-02 5.539E-02
1.9402E-01 1.8634E+02 5.1383E+00 7.024E-02 5.639E-02
1.9972E-01 1.9198E+02 5.5710E+00 7.250E-02 5.739E-02
2.0542E-01 1.9762E+02 6.0277E+00 7.476E-02 5.839E-02
2.1112E-01 2.0328E+02 6.5091E+00 7.703E-02 5.940E-02
2.1682E-01 2.0895E+02 7.0158E+00 7.930E-02 6.040E-02
2.2252E-01 2.1464E+02 7.5482E+00 8.156E-02 6.140E-02
2.2822E-01 2.2034E+02 8.1071E+00 8.382E-02 6.241E-02
2.3393E-01 2.2605E+02 8.6930E+00 8.608E-02 6.341E-02
2.3963E-01 2.3178E+02 9.3065E+00 8.834E-02 6.441E-02
2.4533E-01 2.3752E+02 9.9481E+00 9.059E-02 6.541E-02
2.5103E-01 2.4328E+02 1.0618E+01 9.284E-02 6.641E-02
2.5673E-01 2.4905E+02 1.1318E+01 9.508E-02 6.741E-02
2.6243E-01 2.5484E+02 1.2047E+01 9.732E-02 6.841E-02
